Symptom,Disease,Precaution,Medicine
Fever,Flu,Rest and stay hydrated,Paracetamol
Cough,Common Cold,Avoid cold drinks,Cough Syrup
Headache,Migraine,Avoid bright light,Ibuprofen
Fatigue,Anemia,Iron-rich diet,Ferrous Sulfate
Nausea,Food Poisoning,Avoid contaminated food,Antiemetics
Vomiting,Gastroenteritis,Hydrate frequently,Oral Rehydration Salts
Diarrhea,Cholera,Drink clean water,Oral Rehydration Salts
Muscle pain,Dengue,Rest and hydrate,Paracetamol
Joint pain,Arthritis,Exercise moderately,Painkillers
Sore throat,Tonsillitis,Rest and gargle salt water,Antibiotics
Shortness of breath,Asthma,Use inhaler regularly,Salbutamol
Chest pain,Heart Attack,Call emergency immediately,Aspirin
Dizziness,Vertigo,Rest and hydrate,Sedatives
Rashes,Measles,Avoid scratching,Topical Cream
Blurred vision,Diabetes,Monitor sugar intake,Insulin
Hair loss,Thyroid Disorder,Healthy diet,Thyroid Medication
Back pain,Kidney Stones,Hydrate and rest,Painkillers
Abdominal pain,Appendicitis,Seek emergency care,Surgery
Swelling,Heart Failure,Monitor salt intake,Diuretics
Palpitations,Arrhythmia,Monitor heart rate,Beta Blockers
Insomnia,Insomnia,Maintain sleep hygiene,Sedatives
Mood swings,Depression,Healthy sleep schedule,Antidepressants
Memory loss,Alzheimer's Disease,Mental exercises,Donepezil
Tremors,Parkinson's Disease,Exercise and therapy,Levodopa
Cold hands,Hypothyroidism,Wear warm clothes,Thyroid Medication
Cold feet,Hypothyroidism,Wear warm socks,Thyroid Medication
Sweating,Hyperthyroidism,Monitor diet,Antithyroid drugs
Weight gain,Hypothyroidism,Exercise regularly,Thyroid Medication
Weakness,Anemia,Iron-rich diet,Ferrous Sulfate
Numbness,Peripheral Neuropathy,Foot care,Vitamin B12
Tingling,Peripheral Neuropathy,Monitor sugar intake,Vitamin B12
Fever,Flu,Rest and stay hydrated,Paracetamol
Cough,Common Cold,Stay warm,Antihistamines
Headache,Migraine,Avoid triggers,Ibuprofen
Fatigue,Anemia,Iron supplements,Ferrous Sulfate
Nausea,Food Poisoning,Hydrate,Antiemetics
Vomiting,Gastroenteritis,Drink fluids,Oral Rehydration Salts
Diarrhea,Cholera,Hydrate frequently,Oral Rehydration Salts
Muscle pain,Dengue,Rest and hydrate,Paracetamol
Joint pain,Arthritis,Exercise moderately,Painkillers
Sore throat,Tonsillitis,Rest and gargle salt water,Antibiotics
Shortness of breath,Asthma,Use inhaler,Salbutamol
Chest pain,Heart Attack,Call emergency immediately,Aspirin
Dizziness,Vertigo,Avoid loud noises,Sedatives
Rashes,Measles,Rest and hydrate,Topical Cream
Blurred vision,Diabetes,Protect eyes from sun,Eye treatment
Hair loss,Thyroid Disorder,Healthy diet,Thyroid Medication
